cod,NOMBRE,DEPTO,MPIO,LATITUD,LONGITUD,FECHA_INST,FECHA_SUSP
23080630,TOPACIO EL [23080630],ANTIOQUIA,SAN RAFAEL,6.3833333333,-74.9833333333,15/05/1973,15/11/1991
23080640,MARINILLA    [23080640],ANTIOQUIA,MARINILLA,6.1710833333,-75.328,15/06/1973,
23080650,CAMPOALEGRE    [23080650],ANTIOQUIA,CARMEN DE VIBORAL,6.0737777778,-75.3356111111,15/06/1973,
23080660,MORRO EL [23080660],ANTIOQUIA,SANTO DOMINGO,6.4666666667,-75.1333333333,15/05/1973,15/04/1986
23080680,ALEJANDRIA [23080680],ANTIOQUIA,ALEJANDRÍA,6.3833333333,-75.15,15/06/1973,15/09/1988
23080730,TEJAR EL [23080730],ANTIOQUIA,SAN RAFAEL,6.3,-75.0333333333,15/05/1973,15/05/1994
23080740,CONCEPCION    [23080740],ANTIOQUIA,CONCEPCIÓN,6.3969444444,-75.2591666667,15/05/1975,
23080750,COCORNA    [23080750],ANTIOQUIA,COCORNÁ,6.0533333333,-75.1826111111,15/05/1975,
23080760,SAN ROQUE   [23080760],ANTIOQUIA,SAN ROQUE,6.4875,-75.017,15/05/1975,
23080790,LINDA LA [23080790],ANTIOQUIA,CARMEN DE VIBORAL,5.95,-75.2833333333,15/02/1982,15/11/2004
23080800,PATIO BONITO [23080800],ANTIOQUIA,SAN CARLOS,6.1833333333,-74.9,15/11/1982,15/11/2000
23080810,JORDAN EL   [23080810],ANTIOQUIA,SAN CARLOS,6.2495,-74.8281111111,15/11/1982,
23080820,TAFETANES    [23080820],ANTIOQUIA,GRANADA,6.1467222222,-75.11775,15/05/1983,
23080910,MEDIOS LOS [23080910],ANTIOQUIA,GRANADA,6.1333333333,-75.0833333333,15/06/1991,15/03/1999
23080920,SANTUARIO    [23080920],ANTIOQUIA,SANTUARIO,6.1330555556,-75.2735833333,15/05/1992,
23080930,POPO EL [23080930],ANTIOQUIA,SAN CARLOS,6.2,-74.9833333333,15/05/1992,15/08/2002
